Logistics SAPI shipments Event Timestamp Time,Logistics SAPI shipments Shippingaddress Countrycode,Logistics SAPI shipments Shippingaddress Locality
2017-02-09 09:02:53,FR,Orchies
2017-02-09 09:02:54,US,West Yarmouth
2017-02-09 09:02:54,FR,Bègles
2017-02-09 09:02:54,US,Durham
2017-02-09 09:02:55,US,Michigan City
2017-02-09 09:02:59,US,Snellville
2017-02-09 09:03:04,US,Troup
2017-02-09 09:03:05,IN,Mumbai
2017-02-09 09:03:08,GB,Hemel Hempstead
2017-02-09 09:03:11,FR,CHAUMUSSAY
2017-02-09 09:03:12,NO,REINSVOLL
2017-02-09 09:03:13,US,Raleigh
2017-02-09 09:03:16,IN,Mumbai
2017-02-09 09:03:17,US,Toledo
2017-02-09 09:03:24,GB,Kidlington
2017-02-09 09:03:24,US,Escondido
2017-02-09 09:03:24,GB,Buckie
2017-02-09 09:03:25,US,Dacula
2017-02-09 09:03:26,IN,Thane
2017-02-09 09:03:27,GB,Great Milton
2017-02-09 09:03:27,NO,Rud
2017-02-09 09:03:28,IN,THANE
2017-02-09 09:03:28,US,Los Angeles
2017-02-09 09:03:29,GB,Dunmow
2017-02-09 09:03:30,US,Petersburg
2017-02-09 09:03:31,FR,Feignies
2017-02-09 09:03:31,US,Littleton
2017-02-09 09:03:32,US,Chicago
2017-02-09 09:03:37,GB,Alvechurch
2017-02-09 09:03:38,GB,Market Weighton
2017-02-09 09:03:41,IN,jodhpur
2017-02-09 09:03:46,US,Atlanta
2017-02-09 09:03:46,IN,Bangalore
2017-02-09 09:03:47,US,East Freetown
2017-02-09 09:03:53,GB,london
2017-02-09 09:03:56,IN,delhi
2017-02-09 09:03:56,GB,Manchester
2017-02-09 09:03:58,NO,oslo
2017-02-09 09:03:58,US,Pearland
2017-02-09 09:03:58,US,Haddonfield
2017-02-09 09:04:03,CA,Whitby
2017-02-09 09:04:03,FR,LE BEAUSSET
2017-02-09 09:04:04,GB,Harwich
2017-02-09 09:04:05,GB,Enfield
2017-02-09 09:04:11,US,Canton
2017-02-09 09:04:12,US,Atlantic Mine
2017-02-09 09:04:14,US,Las Vegas
2017-02-09 09:04:14,IN,Bangalore
2017-02-09 09:04:15,CA,Grande Prairie
2017-02-09 09:04:16,IN,Bangalore
2017-02-09 09:04:17,CH,Auenstein
2017-02-09 09:04:18,US,Bonney lake
2017-02-09 09:04:19,US,Oro Valley
2017-02-09 09:04:23,GB,WEST AUCKLAND
2017-02-09 09:04:23,US,Pascagoula
2017-02-09 09:04:24,FR,BOUZEL
2017-02-09 09:04:26,CA,Lethbridge
2017-02-09 09:04:27,CH,Elgg
2017-02-09 09:04:28,IN,Bhubaneswar
2017-02-09 09:04:30,US,Enterprise
2017-02-09 09:04:32,GB,Sheffield
2017-02-09 09:04:32,NO,sogndal
2017-02-09 09:04:34,GB,Dunmow
2017-02-09 09:04:38,FR,Paris
2017-02-09 09:04:39,US,Oak Park
2017-02-09 09:04:40,IN,Muzaffarnagar
2017-02-09 09:04:40,IN,Bangalore
2017-02-09 09:04:40,US,Santa Rosa
2017-02-09 09:04:44,GB,Deddington
2017-02-09 09:04:46,FR,la breille les pins
2017-02-09 09:04:46,CH,Wittenbach
2017-02-09 09:04:52,GB,Hastings
2017-02-09 09:04:54,GB,East Dulwich
2017-02-09 09:04:54,CA,Winnipeg
2017-02-09 09:04:55,US,La Mesa
2017-02-09 09:04:56,IN,Hyderabad
2017-02-09 09:04:57,US,Ontario
2017-02-09 09:04:57,US,Long Island City
2017-02-09 09:04:59,IN,Mumbai
2017-02-09 09:05:06,US,Lone Rock
2017-02-09 09:05:08,GB,Greater Manchester
2017-02-09 09:05:09,FR,verines
2017-02-09 09:05:13,US,bronx
2017-02-09 09:05:13,GB,carlisle
2017-02-09 09:05:13,GB,London
2017-02-09 09:05:13,IN,GIRIDIH
2017-02-09 09:05:16,IN,Durgapur
2017-02-09 09:05:16,GB,Derby
2017-02-09 09:05:17,GB,Farnborough
2017-02-09 09:05:18,FR,CERNAY
2017-02-09 09:05:19,US,Lawrenceville
2017-02-09 09:05:20,GB,Nether Broughton
2017-02-09 09:05:22,US,Los Angeles
2017-02-09 09:05:23,GB,Kent
2017-02-09 09:05:23,US,Seligman
2017-02-09 09:05:27,GB,"Sarnau, Llanymynech"
2017-02-09 09:05:27,GB,Wolverhampton
2017-02-09 09:05:28,GB,Whitburn
2017-02-09 09:05:29,GB,Buckhurst Hill
2017-02-09 09:05:31,IN,KARIMNAGAR
2017-02-09 09:05:32,US,Clayton
2017-02-09 09:05:33,FR,Lyon
2017-02-09 09:05:33,GB,Manchester
2017-02-09 09:05:34,GB,London
2017-02-09 09:05:36,GB,Loxwood
2017-02-09 09:05:37,FR,OSMOY
2017-02-09 09:05:38,GB,Ramsden Heath Billericay
2017-02-09 09:05:40,US,Los Angeles
2017-02-09 09:05:40,GB,"SPOFFORTH, HARROGATE"
2017-02-09 09:05:40,GB,London
2017-02-09 09:05:40,GB,Barnet
2017-02-09 09:05:40,FR,la caunette
2017-02-09 09:05:44,US,Jersey City
2017-02-09 09:05:44,NO,Orre
2017-02-09 09:05:45,IN,Jaipur
2017-02-09 09:05:46,FR,port des barques
2017-02-09 09:05:48,US,Woodland
2017-02-09 09:05:48,FR,PITHIVIERS LE VIEIL
2017-02-09 09:05:48,GB,London
2017-02-09 09:05:51,GB,London
2017-02-09 09:05:52,US,Wittmann
2017-02-09 09:05:53,NO,Fresvik
2017-02-09 09:05:53,FR,RECLOSES
2017-02-09 09:05:53,US,ORO VALLEY
2017-02-09 09:05:56,US,Charlottesville
2017-02-09 09:05:58,FR,coudekerque branche
2017-02-09 09:05:59,US,Spartanburg
2017-02-09 09:06:00,IN,Ratnagiri
2017-02-09 09:06:00,GB,Lancing
2017-02-09 09:06:01,GB,manchester
2017-02-09 09:06:01,GB,Farnham
2017-02-09 09:06:07,US,St. Charles
2017-02-09 09:06:07,NO,Ulset
2017-02-09 09:06:08,GB,Banknock
2017-02-09 09:06:10,CA,Bedford
2017-02-09 09:06:11,AU,Moorabbin
2017-02-09 09:06:11,GB,"Beckley, rye"
2017-02-09 09:06:13,FR,LYON
